Name,DOB,Club,gender,result,discipline,date,competition_id,result_id
Declan Colon,04-22-02,Legia Warsawa,M,47.24,400,06-03-15,60,33
Gage Solis,11-21-94,Jagiellonia Bialystok,M,45.52,400,06-03-15,60,45
Ronan Travis,07-25-01,Piast Gliwice,M,21.98,200,06-03-15,60,115
Halla Ray,04-16-94,Slask Wroclaw,F,255.39,1500,06-03-15,60,126
Urielle David,04-27-99,Legia Warsawa,F,261.49,1500,06-03-15,60,142
Kirsten Yang,06-11-93,Legia Warsawa,F,14.64,100,06-03-15,60,203
Eliana Mccullough,01-31-96,Arka Gdynia,F,13.73,100,06-03-15,60,229
Farrah Combs,09-01-87,Sandecja Nowy Sacz,F,13.1,100,06-03-15,60,570
Yasir Lawson,02-19-88,Jagiellonia Bialystok,M,48.41,400,06-03-15,60,585
Xander Underwood,03-13-00,Arka Gdynia,M,146.35,1000,06-03-15,60,849
April Whitfield,05-06-87,Lech Poznan,F,12.99,100,06-03-15,60,927
Nero Pope,03-29-91,Pogon Szczecin,M,50.98,400,06-03-15,60,1116
Leonard Garza,08-16-88,Pogon Szczecin,M,235.96,1500,06-03-15,60,1143
Madison Park,02-19-86,Lechia Gdansk,F,25.91,200,06-03-15,60,1216
Isabelle Humphrey,08-29-89,Slask Wroclaw,F,51.11,400,06-03-15,60,1403
Wanda Boyer,06-25-02,Zaglebie Lubin,F,171.91,1000,06-03-15,60,1517
Rooney Medina,05-14-01,Piast Gliwice,M,106.02,800,06-03-15,60,1727
Fredericka Moss,07-06-93,Lechia Gdansk,F,131.48,800,06-03-15,60,1751
Clayton Clarke,12-13-94,Wisla Plock,M,231.32,1500,06-03-15,60,1764
Tanisha Workman,11-08-90,Lech Poznan,F,174.53,1000,06-03-15,60,1802
Sasha Terry,05-22-97,Jagiellonia Bialystok,F,256.53,1500,06-03-15,60,1903
Nasim Gonzales,03-21-89,Wisla Plock,M,49.55,400,06-03-15,60,1905
Rose Montgomery,11-06-00,Wisla Plock,F,51.13,400,06-03-15,60,2080
Cairo Lott,08-05-89,Lech Poznan,M,12.61,100,06-03-15,60,2100
Kirsten Yang,06-11-93,Legia Warsawa,F,246.31,1500,06-03-15,60,2126
Driscoll Jordan,12-18-85,Lechia Gdansk,M,211.4,1500,06-03-15,60,2186
Urielle David,04-27-99,Legia Warsawa,F,127.7,800,06-03-15,60,2210
Baker Wilkinson,10-21-93,Slask Wroclaw,M,46.02,400,06-03-15,60,2325
Finn Buck,08-05-96,Piast Gliwice,M,12.11,100,06-03-15,60,2370
Burton Ball,06-12-03,Pogon Szczecin,M,11.6,100,06-03-15,60,2512
Isabelle Humphrey,08-29-89,Slask Wroclaw,F,138.44,800,06-03-15,60,2614
Keelie Hooper,09-09-86,Pogon Szczecin,F,25.51,200,06-03-15,60,2618
Gillian Olson,08-28-89,Zaglebie Lubin,F,126.33,800,06-03-15,60,2715
Xander Underwood,03-13-00,Arka Gdynia,M,223.45,1500,06-03-15,60,2716
Finn Buck,08-05-96,Piast Gliwice,M,107.56,800,06-03-15,60,2726
Damian Monroe,04-07-99,Cracovia,M,153.1,1000,06-03-15,60,2735
Ferris Gibson,01-25-92,Zaglebie Lubin,M,12.33,100,06-03-15,60,2802
Harrison Knox,12-20-80,Legia Warsawa,M,47.91,400,06-03-15,60,2881
Fuller Lowe,02-02-04,Slask Wroclaw,M,157.19,1000,06-03-15,60,3061
Lacey Martin,10-31-87,Jagiellonia Bialystok,F,126.33,800,06-03-15,60,3097
Keaton Wise,11-10-95,Wisla Plock,M,12.25,100,06-03-15,60,3211
Jaime Valencia,12-09-94,Zaglebie Lubin,F,53.85,400,06-03-15,60,3344
Nathan Irwin,12-19-04,Lechia Gdansk,M,159.8,1000,06-03-15,60,3863
Kasper Larson,06-15-04,Pogon Szczecin,M,47.73,400,06-03-15,60,3933
Gillian Olson,08-28-89,Zaglebie Lubin,F,267.75,1500,06-03-15,60,3981
Rahim Ball,06-22-87,Piast Gliwice,M,12.09,100,06-03-15,60,3990
Caesar Newton,11-01-99,Zaglebie Lubin,M,146.96,1000,06-03-15,60,4058
Ria Martin,01-10-98,Zaglebie Lubin,F,268.61,1500,06-03-15,60,4267
Hilary Pruitt,02-09-90,Zaglebie Lubin,F,191.43,1000,06-03-15,60,4337
Phillip Beck,08-08-84,Wisla Plock,M,12.97,100,06-03-15,60,4439
Abra Williams,03-26-90,Lechia Gdansk,F,51.38,400,06-03-15,60,4555
Keaton Wise,11-10-95,Wisla Plock,M,228.73,1500,06-03-15,60,4615
Dexter Hudson,03-09-93,Jagiellonia Bialystok,M,21.24,200,06-03-15,60,4791
Tanisha Workman,11-08-90,Lech Poznan,F,51.87,400,06-03-15,60,4826
Sybill Buchanan,07-31-84,Slask Wroclaw,F,14.79,100,06-03-15,60,4833
Bruno Marsh,09-06-81,Bruk-Bet Termalica Nieciecza,M,105.36,800,06-03-15,60,4893
Thor Justice,12-17-87,Zaglebie Lubin,M,10.64,100,06-03-15,60,4925
Olga Vaughan,11-07-90,Wisla Krakowa,F,53.83,400,06-03-15,60,4994
Barbara Russell,06-16-91,Gornik Zabrze,F,136.1,800,06-03-15,60,5117
Guinevere Mercer,11-14-01,Slask Wroclaw,F,13.48,100,06-03-15,60,5195
Moses Schmidt,03-30-88,Sandecja Nowy Sacz,M,22.31,200,06-03-15,60,5199
Fulton Wilkerson,05-13-92,Lech Poznan,M,154.21,1000,06-03-15,60,5661
September Blackburn,03-14-96,Jagiellonia Bialystok,F,175.0,1000,06-03-15,60,6073
Yoshi Hooper,10-23-93,Gornik Zabrze,F,185.69,1000,06-03-15,60,6084
Isabelle Bright,07-16-93,Wisla Krakowa,F,23.34,200,06-03-15,60,6094
Jasmine Schneider,04-24-87,Lech Poznan,F,191.04,1000,06-03-15,60,6143
Clio Colon,10-15-00,Arka Gdynia,F,134.44,800,06-03-15,60,6236
Ariana Tucker,07-25-94,Jagiellonia Bialystok,F,173.58,1000,06-03-15,60,6294
Alden Fox,07-24-85,Wisla Krakowa,M,217.06,1500,06-03-15,60,6481
Clio Colon,10-15-00,Arka Gdynia,F,24.04,200,06-03-15,60,6505
Fay Lindsay,11-27-92,Wisla Krakowa,F,25.8,200,06-03-15,60,6515
Noelle Thompson,03-04-98,Lech Poznan,F,52.21,400,06-03-15,60,6549
Axel Curry,12-03-86,Slask Wroclaw,M,225.94,1500,06-03-15,60,6556
Channing Hardin,01-04-00,Bruk-Bet Termalica Nieciecza,M,45.19,400,06-03-15,60,6584
Nolan Mitchell,01-28-85,Lech Poznan,M,20.32,200,06-03-15,60,6904
Phoebe Delgado,10-21-95,Cracovia,F,250.97,1500,06-03-15,60,7039
Candice Conrad,03-29-86,Sandecja Nowy Sacz,F,179.38,1000,06-03-15,60,7111
Colt Hewitt,12-08-82,Pogon Szczecin,M,20.66,200,06-03-15,60,7275
Alika Reid,02-20-00,Cracovia,F,24.71,200,06-03-15,60,7305
Ruth Douglas,04-27-88,Korona Kielce,F,267.82,1500,06-03-15,60,7306
Edan Tate,04-28-99,Lech Poznan,M,113.18,800,06-03-15,60,7310
Finn Wyatt,06-27-05,Bruk-Bet Termalica Nieciecza,M,159.91,1000,06-03-15,60,7366
Lesley Franklin,11-29-01,Lech Poznan,F,54.62,400,06-03-15,60,7399
Leah Conrad,12-23-83,Lechia Gdansk,F,168.5,1000,06-03-15,60,7440
Lewis Fulton,02-17-89,Bruk-Bet Termalica Nieciecza,M,49.17,400,06-03-15,60,7533
Camden Kelly,01-01-86,Legia Warsawa,M,141.53,1000,06-03-15,60,7826
Adele Christian,11-22-90,Piast Gliwice,F,52.35,400,06-03-15,60,7928
Indira Riley,06-04-98,Piast Gliwice,F,134.04,800,06-03-15,60,7963
Jackson Hyde,12-01-91,Korona Kielce,M,49.05,400,06-03-15,60,7994
Rachel Lott,06-03-85,Legia Warsawa,F,260.17,1500,06-03-15,60,8210
Jesse Small,02-11-84,Pogon Szczecin,M,110.64,800,06-03-15,60,8229
Wesley Woodward,09-09-95,Legia Warsawa,M,45.91,400,06-03-15,60,8339
Rose Montgomery,11-06-00,Wisla Plock,F,268.12,1500,06-03-15,60,8345
Vivian Hobbs,10-14-93,Piast Gliwice,F,52.16,400,06-03-15,60,8363
Ivan Roberts,09-16-82,Gornik Zabrze,M,141.14,1000,06-03-15,60,8403
Paul Nelson,07-11-89,Cracovia,M,10.78,100,06-03-15,60,8621
Finn Buck,08-05-96,Piast Gliwice,M,22.29,200,06-03-15,60,8652
Brendan Mccormick,09-23-88,Legia Warsawa,M,21.72,200,06-03-15,60,8695
Orson Petty,07-01-00,Zaglebie Lubin,M,154.61,1000,06-03-15,60,8923
Noelle Thompson,03-04-98,Lech Poznan,F,128.34,800,06-03-15,60,8960
Kai Russo,07-23-98,Slask Wroclaw,F,134.29,800,06-03-15,60,9016
Nasim Gonzales,03-21-89,Wisla Plock,M,12.05,100,06-03-15,60,9093
Drake Trevino,12-20-97,Piast Gliwice,M,238.6,1500,06-03-15,60,9104
Caesar Newton,11-01-99,Zaglebie Lubin,M,148.65,1000,06-03-15,60,9127
Faith Contreras,09-19-91,Piast Gliwice,F,247.34,1500,06-03-15,60,9236
Kylan Alvarado,01-03-88,Zaglebie Lubin,F,137.81,800,06-03-15,60,9430
Tiger Hood,07-06-80,Lechia Gdansk,M,49.97,400,06-03-15,60,9462
Sigourney Rojas,10-01-88,Gornik Zabrze,F,14.55,100,06-03-15,60,9466
Roary Bean,03-08-96,Legia Warsawa,F,129.57,800,06-03-15,60,9576
Tatyana Burks,10-12-93,Gornik Zabrze,F,139.29,800,06-03-15,60,9616
Mark Welch,07-03-82,Legia Warsawa,M,229.54,1500,06-03-15,60,9686
Colt Hewitt,12-08-82,Pogon Szczecin,M,11.76,100,06-03-15,60,9768
