Name,DOB,Club,gender,trener_id
Tiger Bell,06-03-90,Arka Gdynia,M,15
Tyrone Harris,03-08-97,Bruk-Bet Termalica Nieciecza,M,18
Chester Waller,08-08-80,Wisla Krakowa,M,46
Fitzgerald Webster,04-21-87,Cracovia,M,4
Dexter Hudson,03-09-93,Jagiellonia Bialystok,M,21
Cole Pennington,09-18-81,Wisla Plock,M,22
Ezra Tucker,06-14-87,Wisla Plock,M,8
Austin Gibbs,12-23-91,Korona Kielce,M,35
Hayes Tanner,09-20-00,Slask Wroclaw,M,47
Elliott Calhoun,01-24-94,Pogon Szczecin,M,30
Austin Pate,05-21-99,Wisla Plock,M,18
Keaton Wise,11-10-95,Wisla Plock,M,11
Murphy Hubbard,08-27-89,Lech Poznan,M,24
Nathan Irwin,12-19-04,Lechia Gdansk,M,11
Seth Willis,09-22-04,Jagiellonia Bialystok,M,41
Kadeem Rasmussen,08-27-02,Bruk-Bet Termalica Nieciecza,M,12
Henry Bartlett,04-24-02,Wisla Krakowa,M,47
Kamal Joseph,11-29-86,Wisla Plock,M,42
Aquila Vaughn,01-19-88,Gornik Zabrze,M,43
Anthony Stafford,11-22-03,Slask Wroclaw,M,36
Anthony Harding,03-06-94,Piast Gliwice,M,5
Ezekiel Church,07-09-93,Cracovia,M,0
Chaney Rivera,12-13-85,Lechia Gdansk,M,21
Wing Macdonald,08-16-99,Slask Wroclaw,M,46
Thomas Mcleod,03-26-82,Piast Gliwice,M,6
Elvis Langley,07-19-94,Bruk-Bet Termalica Nieciecza,M,43
Channing Hardin,01-04-00,Bruk-Bet Termalica Nieciecza,M,6
Mufutau Mcclure,01-25-89,Piast Gliwice,M,35
Wylie Saunders,09-24-89,Wisla Krakowa,M,36
Benjamin Mccarthy,03-14-03,Legia Warsawa,M,37
Lionel Rivera,03-12-82,Zaglebie Lubin,M,22
Gage Solis,11-21-94,Jagiellonia Bialystok,M,23
Axel Griffin,09-09-99,Arka Gdynia,M,10
Camden Kelly,01-01-86,Legia Warsawa,M,15
Chester Stanley,07-31-80,Lech Poznan,M,19
Colby Erickson,05-10-83,Legia Warsawa,M,47
Julian Albert,03-30-82,Jagiellonia Bialystok,M,6
Byron Sullivan,02-18-83,Legia Warsawa,M,28
Chester Huff,02-10-87,Wisla Plock,M,0
Deacon Mclean,05-15-03,Korona Kielce,M,27
Caesar Dunlap,10-25-95,Piast Gliwice,M,41
Rigel Odom,09-23-93,Korona Kielce,M,9
Curran Ellis,06-15-86,Legia Warsawa,M,32
Elijah Pruitt,09-08-80,Zaglebie Lubin,M,25
Jacob Moore,08-28-93,Jagiellonia Bialystok,M,30
Castor Henry,06-11-94,Lech Poznan,M,26
Valentine Hawkins,04-22-98,Korona Kielce,M,22
Hashim Ball,09-28-98,Lechia Gdansk,M,41
Arden Campbell,02-18-82,Bruk-Bet Termalica Nieciecza,M,12
Tad Alston,12-04-98,Gornik Zabrze,M,20
Dean Lowery,07-21-82,Slask Wroclaw,M,19
Brett Dotson,07-16-92,Slask Wroclaw,M,6
Wesley Woodward,09-09-95,Legia Warsawa,M,23
Cairo Lott,08-05-89,Lech Poznan,M,31
Hop Wade,02-12-98,Wisla Plock,M,1
George Avila,07-28-80,Bruk-Bet Termalica Nieciecza,M,14
Lance Mills,04-06-01,Arka Gdynia,M,21
Kasper Larson,06-15-04,Pogon Szczecin,M,12
Nasim Gonzales,03-21-89,Wisla Plock,M,31
Amos Wagner,09-20-92,Wisla Krakowa,M,11
Lucas Stevenson,04-15-95,Korona Kielce,M,39
Ignatius Mccarty,09-04-88,Lech Poznan,M,10
Ferris Gibson,01-25-92,Zaglebie Lubin,M,8
Samson Martin,03-27-86,Gornik Zabrze,M,34
Jesse Small,02-11-84,Pogon Szczecin,M,43
Baker Wilkinson,10-21-93,Slask Wroclaw,M,3
Yoshio Meyers,12-20-90,Arka Gdynia,M,6
Damon George,06-15-82,Pogon Szczecin,M,14
Bruno Riley,01-30-00,Gornik Zabrze,M,10
Finn Buck,08-05-96,Piast Gliwice,M,15
Blake Warner,08-13-88,Gornik Zabrze,M,30
Mark Welch,07-03-82,Legia Warsawa,M,14
Rahim Ball,06-22-87,Piast Gliwice,M,25
Drake Pierce,10-07-00,Piast Gliwice,M,15
Ivor Richmond,12-28-89,Slask Wroclaw,M,43
Hu Allison,05-12-85,Wisla Plock,M,26
Aquila Horn,08-27-92,Sandecja Nowy Sacz,M,24
Nolan Riley,03-26-05,Piast Gliwice,M,39
Alan Cunningham,10-06-99,Lech Poznan,M,18
Isaiah Ramsey,03-28-88,Wisla Plock,M,10
Colt Hewitt,12-08-82,Pogon Szczecin,M,40
Philip Lopez,11-16-86,Jagiellonia Bialystok,M,7
Joel Mcgowan,04-12-84,Sandecja Nowy Sacz,M,31
Raphael Wiley,04-20-90,Pogon Szczecin,M,36
Finn Wyatt,06-27-05,Bruk-Bet Termalica Nieciecza,M,13
Thomas Erickson,11-29-81,Slask Wroclaw,M,23
Igor Wright,08-01-90,Gornik Zabrze,M,23
Callum Berger,07-09-01,Slask Wroclaw,M,30
Dieter Graham,12-19-04,Gornik Zabrze,M,40
Dylan Sellers,06-05-85,Korona Kielce,M,46
Hayes Navarro,03-02-95,Wisla Krakowa,M,12
Price Mcintyre,11-03-94,Jagiellonia Bialystok,M,23
Cameron Cooley,04-11-05,Piast Gliwice,M,31
Gavin Brennan,05-24-82,Sandecja Nowy Sacz,M,11
Avram Blackburn,01-18-01,Pogon Szczecin,M,47
Hiram Giles,09-19-84,Lechia Gdansk,M,44
Edan Russell,02-15-93,Sandecja Nowy Sacz,M,24
Cadman English,12-31-88,Bruk-Bet Termalica Nieciecza,M,32
Norman Stevens,01-29-04,Sandecja Nowy Sacz,M,24
Russell Washington,09-18-88,Piast Gliwice,M,46
Benedict Kelley,06-14-05,Bruk-Bet Termalica Nieciecza,M,44
Joshua Shepherd,10-26-99,Bruk-Bet Termalica Nieciecza,M,39
Isaiah Cox,06-30-99,Legia Warsawa,M,45
Brent Hubbard,05-31-82,Pogon Szczecin,M,13
Logan Vaughn,03-16-96,Legia Warsawa,M,25
Hyatt Snyder,10-04-89,Zaglebie Lubin,M,5
Chandler Lopez,09-13-81,Pogon Szczecin,M,40
Brennan Bowman,11-26-96,Wisla Plock,M,38
Xander Keller,10-07-82,Piast Gliwice,M,17
Hamilton Roth,10-30-86,Jagiellonia Bialystok,M,5
Christian Deleon,07-11-99,Wisla Krakowa,M,36
Akeem Tucker,10-12-87,Arka Gdynia,M,38
Kelly Barrera,03-05-90,Zaglebie Lubin,M,32
Uriel Kim,04-24-00,Wisla Krakowa,M,43
Vincent Bullock,12-12-88,Korona Kielce,M,38
Elliott Gamble,06-17-86,Lech Poznan,M,15
Harrison Knox,12-20-80,Legia Warsawa,M,21
Thor Justice,12-17-87,Zaglebie Lubin,M,17
Kermit Mcclure,02-04-97,Bruk-Bet Termalica Nieciecza,M,29
Denton Michael,07-01-89,Korona Kielce,M,24
Fuller Lowe,02-02-04,Slask Wroclaw,M,36
Rooney Medina,05-14-01,Piast Gliwice,M,15
Leonard Mcintyre,10-02-98,Wisla Plock,M,38
Troy Farrell,11-17-99,Lech Poznan,M,7
Clayton Clarke,12-13-94,Wisla Plock,M,32
Trevor Bell,07-13-86,Cracovia,M,10
Chase Giles,03-06-98,Zaglebie Lubin,M,19
Driscoll Jordan,12-18-85,Lechia Gdansk,M,7
Connor Rosales,01-04-81,Arka Gdynia,M,10
Dane Berry,07-22-82,Legia Warsawa,M,2
Wing Sherman,05-05-81,Lechia Gdansk,M,45
Addison Todd,09-12-83,Wisla Krakowa,M,47
Deacon Trujillo,07-02-00,Korona Kielce,M,30
Rafael Nicholson,06-07-85,Slask Wroclaw,M,44
Driscoll Fowler,08-12-99,Korona Kielce,M,24
Declan Colon,04-22-02,Legia Warsawa,M,26
Harrison Mathis,03-05-05,Jagiellonia Bialystok,M,1
Blake Baxter,08-08-94,Piast Gliwice,M,20
Barclay Bruce,01-29-92,Wisla Krakowa,M,28
Erich Joseph,08-25-02,Piast Gliwice,M,5
Macaulay Sullivan,10-29-00,Lechia Gdansk,M,18
Ethan Chambers,05-09-89,Wisla Krakowa,M,44
Nero Pope,03-29-91,Pogon Szczecin,M,43
Warren Bowman,02-14-89,Lechia Gdansk,M,12
Burke William,12-20-87,Pogon Szczecin,M,36
